RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS(Millions),ER,iPOSTS ON HASHTAG,MEDIA POSTED
88,Anastasia Beverly Hills,beauty,,12.3,1.05%æ(3325),7.7Mæ(85),67
89,Luan Santana,celebrities,musicians,12.2,1.64%æ(2439),590.7kæ(671),876
90,Chloe Grace Moretz,celebrities,actors,12.2,4.10%æ(535),47.6kæ(2071),1020
91,adidas,fashion,sport,12.1,1.52%æ(2619),26.3Mæ(18),2496
92,forever21,fashion,,12.1,1.68%æ(2388),3.9Mæ(164),496
93,Gucci,fashion,luxury,12,0.55%æ(4073),34.2Mæ(12),899
94,Louis Tomlinson,celebrities,musicians,11.8,11.42%æ(32),25.5Mæ(23),5008
95,G-DRAGON,celebrities,fashion,11.8,4.45%æ(422),4.6Mæ(146),1366
96,DanialvesD2 My Twitter,celebrities,athletes,11.7,1.62%æ(2477),122.4kæ(1486),1508
97,Dolce & Gabbana,fashion,luxury,11.7,0.48%æ(4142),6.1Mæ(105),471
98,Tyga / T-Raww,celebrities,musicians,11.6,1.31%æ(2922),1.2Mæ(421),948
99,Paul Labile Pogba,celebrities,athletes,11.5,6.11%æ(170),77.6kæ(1745),4219
100,Barack Obama,celebrities,political,11.5,3.37%æ(826),2.5Mæ(240),4753
